score,priority_tier,priority_reasons,is_senior,title,company,source,location,regions,posted_at,salary,tags,url,uid
53,SEA/Asia,"SEA/Asia, senior, remote",True,Sr Supplier Quality Engineer I,Axon,Jobicy,Vietnam,SEA,2026-09-01,,"Senior, QA & Testing",https://jobicy.com/jobs/152331-sr-supplier-quality-engineer-i,c6553654dc133f4b
40,SEA/Asia,SEA/Asia,False,QA Engineer 区块链测试工程师,Windranger Labs,Jobicy,APAC,SEA,2026-08-30,,QA & Testing,https://jobicy.com/jobs/152081-qa-engineer-%e5%8c%ba%e5%9d%97%e9%93%be%e6%b5%8b%e8%af%95%e5%b7%a5%e7%a8%8b%e5%b8%88,86043a217598960e
33,Europe,"Europe, senior, remote",True,Senior Test Automation Engineer (TeamCity),jetbrains,Arbeitnow,Berlin; Munich; Remote,Europe,2026-09-10,,TeamCity,https://www.arbeitnow.com/jobs/companies/jetbrains/remote-senior-test-automation-engineer-teamcity-138995,07293c2617fb6c66
33,Europe,"Europe, senior, remote",True,Senior QA Automation Engineer,Proxify,WorkingNomads,Time zone: CET (+/- 3 hours),Europe,2026-09-07,,"playwright, azure, sql, test automation, cypress, selenium, javascript, qa, Development",https://www.workingnomads.com/job/go/1843242/,b8bf7229fa5bd351
33,Europe,"Europe, senior, remote",True,Senior QA Automation Engineer (Boosters),Playson,Jobicy,Europe,Europe,2026-08-29,,"Senior, QA & Testing",https://jobicy.com/jobs/152043-senior-qa-automation-engineer-boosters,b7c5179ac066a04f
28,Europe,"Europe, senior",True,(Senior) QA Engineer (x/f/m),dkbcodefactory,Arbeitnow,Berlin,Europe,2026-09-10,,Technology & Infrastructure,https://www.arbeitnow.com/jobs/companies/dkbcodefactory/senior-qa-engineer-berlin-254105,39f145dfd53640f3
28,Europe,"Europe, remote, salary",False,Test a Streaming Platform in France,Testlio,Jobicy,France,Europe,2026-09-07,USD18 - USD18,QA & Testing,https://jobicy.com/jobs/152737-test-a-streaming-platform-in-france,84604c7254df9e45
28,Europe,"Europe, remote, salary",False,Freelance Tester (Faroe Islands) – Global Payment Research ($100/hr),Testlio,Jobicy,EMEA,"Europe, Worldwide",2026-09-02,USD18 - USD18,QA & Testing,https://jobicy.com/jobs/152375-freelance-tester-faroe-islands-global-payment-research-100-hr,defaab3b836fd054
25,Europe,"Europe, remote",False,"Testingenieur:in Software Aufbau Testframwork in Python, Berlin hybrid, 65.000 - 85.000",wabcon,Arbeitnow,Ingolstadt,Europe,2026-09-09,,"Quality Assurance, Inspection, berufserfahren",https://www.arbeitnow.com/jobs/companies/wabcon/testingenieurin-software-aufbau-testframwork-in-python-berlin-hybrid-65000-85000-ingolstadt-216673,c57f5001df5d134f
25,Europe,"Europe, remote",False,Bulgarian Localization QA Tester / Proofreader (Part -time),Welo Global,Jobicy,"France,  Germany,  Greece,  Romania,  Spain",Europe,2026-09-01,,QA & Testing,https://jobicy.com/jobs/152327-bulgarian-localization-qa-tester-proofreader-part-time,7cdb72ce36b3caec
25,Europe,"Europe, remote",False,QA Engineer,Workwize,Jobicy,Europe,Europe,2026-08-28,,QA & Testing,https://jobicy.com/jobs/151950-qa-engineer-4,201dc3f2f56f4e4f
20,Europe,Europe,False,QA Engineer (Manual),Rematiq Gmbh,Arbeitnow,Berlin,Europe,2026-09-10,,"Tech, Full Time",https://www.arbeitnow.com/jobs/companies/rematiq-gmbh/qa-engineer-manual-berlin-365145,fda22c49bb29e079
20,Europe,Europe,False,Flight Test Engineer & Onsite Test Coordinator (all genders),Stark,Arbeitnow,Berlin,Europe,2026-09-09,,"flighttest, flighttesting, engineering, pilots, drones, Experienced, Permanent, Full time",https://www.arbeitnow.com/jobs/companies/stark/flight-test-engineer-onsite-test-coordinator-all-genders-berlin-335099,a1428518123e958d
20,Europe,Europe,False,Supply Chain Quality Engineer - MAIT,The Exploration Company,Arbeitnow,"Bordeaux, France",Europe,2026-09-06,,"Program, Full Time",https://www.arbeitnow.fr/jobs/companies/the-exploration-company/supply-chain-quality-engineer-mait-bordeaux-313589,07cf91f5670760dc
16,,"senior, remote, salary",True,Senior Quality Assurance Engineer (Personify team),Bloomreach,Jobicy,Czechia,,2026-09-03,"CZK1,130,000 - CZK1,410,000","Senior, QA & Testing",https://jobicy.com/jobs/152406-senior-quality-assurance-engineer-personify-team,6f5bf30b7348dae4
16,,"senior, remote, salary",True,Staff Quality Engineer,StackAdapt,Jobicy,"Canada,  USA",,2026-09-03,"USD136,000 - USD187,000","Senior, QA & Testing",https://jobicy.com/jobs/152402-staff-quality-engineer,492c0b93f3a506e0
16,,"senior, remote, salary",True,Senior QA Engineer,Caylent,Jobicy,USA,,2026-09-01,"USD95,000 - USD119,000","Senior, QA & Testing",https://jobicy.com/jobs/152325-senior-qa-engineer-2,8284d21518c5f7ee
13,,"senior, remote",True,Senior QA Engineer - FULL REMOTE - Employee in USD,goPro Consultancy Group ltd.,Himalayas,United States,,2026-09-10,,"QA-Engineer, Automation-Testing, Quality-Assurance-Engineer, Software-Testing, Remote-QA-Engineer, Remote-Quality-Assurance-Engineer, Remote-Quality-Engineer, Senior-QA-Engineering, Senior-QA-Tester, Senior-Product-QA, Lead-QA-Engineer, Senior",https://himalayas.app/companies/gopro-consultancy-group-ltd/jobs/senior-qa-engineer-full-remote-employee-in-usd-136319397,bf192fbe55ae633f
13,,"senior, remote",True,Senior QA Automation Engineer (Platform),Upgrade,Jobicy,USA,,2026-09-03,,"Senior, QA & Testing",https://jobicy.com/jobs/152407-senior-qa-automation-engineer-platform,d8a8d35225f02897
13,,"senior, remote",True,Senior SDET,Tala,Jobicy,Mexico,,2026-09-03,,"Senior, QA & Testing",https://jobicy.com/jobs/152400-senior-sdet,84fbee15970bb4ca
13,,"senior, remote",True,Senior QA Automation Developer (Platform),Upgrade,Jobicy,Canada,,2026-09-01,,"Senior, QA & Testing",https://jobicy.com/jobs/152334-senior-qa-automation-developer-platform,b3b3e69df0d607e8
13,,"senior, remote",True,Senior SDET - GovTech Industry,Truelogic,Jobicy,LATAM,,2026-09-01,,"Senior, QA & Testing",https://jobicy.com/jobs/152326-senior-sdet-govtech-industry,ae0dbfa42fbabe88
8,,senior,True,Principal Supplier Quality Engineer,Halter,Jobicy,China,,2026-08-31,,"Senior, QA & Testing",https://jobicy.com/jobs/152180-principal-supplier-quality-engineer,142017bc4fe56186
8,,senior,True,Lead Supplier Quality Engineer,Halter,Jobicy,China,,2026-08-31,,"Senior, QA & Testing",https://jobicy.com/jobs/152174-lead-supplier-quality-engineer,81cec1ab0753f1ef
