score,priority_tier,priority_reasons,is_senior,title,company,source,location,regions,posted_at,salary,tags,url,uid
53,SEA/Asia,"SEA/Asia, senior, remote",True,Sr Supplier Quality Engineer I,Axon,Jobicy,Vietnam,SEA,2026-09-01,,"Senior, QA & Testing",https://jobicy.com/jobs/152331-sr-supplier-quality-engineer-i,c6553654dc133f4b
40,SEA/Asia,SEA/Asia,False,QA Engineer 区块链测试工程师,Windranger Labs,Jobicy,APAC,SEA,2026-08-30,,QA & Testing,https://jobicy.com/jobs/152081-qa-engineer-%e5%8c%ba%e5%9d%97%e9%93%be%e6%b5%8b%e8%af%95%e5%b7%a5%e7%a8%8b%e5%b8%88,86043a217598960e
33,Europe,"Europe, senior, remote",True,Senior QA Automation Engineer (Boosters),Playson,Jobicy,Europe,Europe,2026-08-29,,"Senior, QA & Testing",https://jobicy.com/jobs/152043-senior-qa-automation-engineer-boosters,b7c5179ac066a04f
33,Europe,"Europe, senior, remote",True,Senior QA Engineer,Lemon.io,Remotive,Europe,Europe,2026-08-26,,".Net, android, C, C#, C++, data science, golang, ios, java, javascript, node.js, php, python, react, ruby/rails, scala, shopify, swift, UI/UX, wordpress, blockchain, AI/ML, automation, project management, react native, rust, unity, electron, spring, laravel, Ethereum, graphic design, Typescript , cypress, angular , selenium, firebase, data engineering, Site Reliability, Symfony, manual testing, marketplace, testing, next.js, flutter",https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100,e4affd52ec7bfbe0
33,Europe,"Europe, senior, remote",True,Senior QA Engineer,Lemon.io,WorkingNomads,Europe,Europe,2026-08-25,,"qa engineer, cypress, selenium, automation, english, Development",https://www.workingnomads.com/job/go/1814693/,6850ae6c6537a78f
28,Europe,"Europe, remote, salary",False,Freelance Tester (Faroe Islands) – Global Payment Research ($100/hr),Testlio,Jobicy,EMEA,"Europe, Worldwide",2026-09-02,USD18 - USD18,QA & Testing,https://jobicy.com/jobs/152375-freelance-tester-faroe-islands-global-payment-research-100-hr,defaab3b836fd054
28,Europe,"Europe, remote, salary",False,Ads Quality Rater - Catalan (Spain),Welo Global,Jobicy,Spain,Europe,2026-08-27,10 - 10,QA & Testing,https://jobicy.com/jobs/151868-ads-quality-rater-catalan-spain,fa5cb31d1d8ad852
25,Europe,"Europe, remote",False,Content Operations QA Analyst,Cargo One,Arbeitnow,Remote (EMEA),Europe,2026-09-03,,"Content Operations, Full Time",https://www.arbeitnow.com/jobs/companies/cargo-one/remote-content-operations-qa-analyst-326919,6055160b69c0fe69
25,Europe,"Europe, remote",False,Bulgarian Localization QA Tester / Proofreader (Part -time),Welo Global,Jobicy,"France,  Germany,  Greece,  Romania,  Spain",Europe,2026-09-01,,QA & Testing,https://jobicy.com/jobs/152327-bulgarian-localization-qa-tester-proofreader-part-time,7cdb72ce36b3caec
25,Europe,"Europe, remote",False,QA Engineer,Workwize,Jobicy,Europe,Europe,2026-08-28,,QA & Testing,https://jobicy.com/jobs/151950-qa-engineer-4,201dc3f2f56f4e4f
25,Europe,"Europe, remote",False,LQA Game Tester (European Spanish) - Freelance Remote,Side,Jobicy,Portugal,Europe,2026-08-24,,"Entry-Level, Junior, Customer Support & Success",https://jobicy.com/jobs/144408-lqa-game-tester-european-spanish-freelance-remote,eb645db7489312e8
20,Europe,Europe,False,UK - London - ADS - Test Engineer,Jobposts,Arbeitnow,"London, Greater London",Europe,2026-09-03,,Aiviq,https://www.arbeitnow.co.uk/jobs/companies/jobposts/uk-london-ads-test-engineer-london-greater-london-40082,2b5b53f6b776ab56
16,,"senior, remote, salary",True,Senior Quality Assurance Engineer (Personify team),Bloomreach,Jobicy,Czechia,,2026-09-03,"CZK1,130,000 - CZK1,410,000","Senior, QA & Testing",https://jobicy.com/jobs/152406-senior-quality-assurance-engineer-personify-team,6f5bf30b7348dae4
16,,"senior, remote, salary",True,Staff Quality Engineer,StackAdapt,Jobicy,"Canada,  USA",,2026-09-03,"USD136,000 - USD187,000","Senior, QA & Testing",https://jobicy.com/jobs/152402-staff-quality-engineer,492c0b93f3a506e0
16,,"senior, remote, salary",True,Senior QA Engineer,Caylent,Jobicy,USA,,2026-09-01,"USD95,000 - USD119,000","Senior, QA & Testing",https://jobicy.com/jobs/152325-senior-qa-engineer-2,8284d21518c5f7ee
13,,"senior, remote",True,Senior QA Automation Engineer (Platform),Upgrade,Jobicy,USA,,2026-09-03,,"Senior, QA & Testing",https://jobicy.com/jobs/152407-senior-qa-automation-engineer-platform,d8a8d35225f02897
13,,"senior, remote",True,Senior SDET,Tala,Jobicy,Mexico,,2026-09-03,,"Senior, QA & Testing",https://jobicy.com/jobs/152400-senior-sdet,84fbee15970bb4ca
13,,"senior, remote",True,Senior QA Automation Developer (Platform),Upgrade,Jobicy,Canada,,2026-09-01,,"Senior, QA & Testing",https://jobicy.com/jobs/152334-senior-qa-automation-developer-platform,b3b3e69df0d607e8
13,,"senior, remote",True,Senior SDET - GovTech Industry,Truelogic,Jobicy,LATAM,,2026-09-01,,"Senior, QA & Testing",https://jobicy.com/jobs/152326-senior-sdet-govtech-industry,ae0dbfa42fbabe88
8,,senior,True,Principal Supplier Quality Engineer,Halter,Jobicy,China,,2026-08-31,,"Senior, QA & Testing",https://jobicy.com/jobs/152180-principal-supplier-quality-engineer,142017bc4fe56186
8,,senior,True,Lead Supplier Quality Engineer,Halter,Jobicy,China,,2026-08-31,,"Senior, QA & Testing",https://jobicy.com/jobs/152174-lead-supplier-quality-engineer,81cec1ab0753f1ef
8,,"remote, salary",False,"SDET II, tvScientific",Pinterest,Jobicy,USA,,2026-09-03,"USD109,242 - USD224,910",QA & Testing,https://jobicy.com/jobs/152404-sdet-ii-tvscientific,15662a4c06fd5102
8,,"remote, salary",False,Quality Engineer,StackAdapt,Jobicy,Canada,,2026-09-01,"CAD84,000 - CAD115,500",QA & Testing,https://jobicy.com/jobs/152330-quality-engineer-2,8c0d18124d068eb1
8,,"remote, salary",False,Quality Assurance Engineer,AssetWatch,Jobicy,"Canada,  USA",,2026-09-01,"USD99,000 - USD124,000","Senior, QA & Testing",https://jobicy.com/jobs/152329-quality-assurance-engineer-2,66364a06be63a1e9
8,,"remote, salary",False,Ads Quality Rater - Spanish (Argentina),Welo Global,Jobicy,Argentina,,2026-08-31,4 - 4,QA & Testing,https://jobicy.com/jobs/152200-ads-quality-rater-spanish-argentina,6cb9828655a4a29c
8,,"remote, salary",False,Ads Quality Rater - Italian (Brazil),Welo Global,Jobicy,Brazil,,2026-08-31,6 - 6,QA & Testing,https://jobicy.com/jobs/152198-ads-quality-rater-italian-brazil,cf4abc4764021fb2
